Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
Home National Bank,Blackwell,OK,11636,RCB Bank,9-Jul-10,4-Nov-10
USA Bank,Port Chester,NY,58072,New Century Bank,9-Jul-10,28-Oct-10
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,9-Jul-10,12-Jul-10
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",9-Jul-10,19-Jul-10
High Desert State Bank,Albuquerque,NM,35279,First American Bank,25-Jun-10,1-Nov-10
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,21-Oct-10
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,22-Sep-10
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,18-Jun-10,22-Oct-10
Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,30-Nov-10
TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,10-Sep-10
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,26-Aug-10
First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,26-Aug-10
Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,1-Nov-10
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,1-Nov-10
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,26-Aug-10
Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,26-Aug-10
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,26-Aug-10
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,26-Aug-10
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",14-May-10,26-Aug-10
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,28-Oct-10
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,14-May-10,26-Aug-10
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,26-Aug-10
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,26-Aug-10
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,26-Aug-10
Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,26-Aug-10
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,26-Aug-10
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,26-Aug-10
BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,4-Nov-10
Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,26-Aug-10
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,26-Aug-10
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,26-Aug-10
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,26-Aug-10
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,26-Aug-10
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,26-Aug-10
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,26-Aug-10
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank and Trust Company,23-Apr-10,26-Aug-10
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",23-Apr-10,26-Aug-10
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,4-Nov-10
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,3-Nov-10
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,26-Aug-10
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,29-Nov-10
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,26-Aug-10
Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,26-Aug-10
Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,4-Nov-10
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,26-Aug-10
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,8-Nov-10
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,27-Aug-10
